smiles,mol,tpsa,mol_w,qed,HBA,HBD,logP,MR
CC1(C)CCC(C)(C)c2cc(ccc12)C1(OCCO1)c1ccc(cc1)C(O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCED0>,55.76,380.19875937600074,0.8156957051988873,4,1,4.9817000000000045,107.81330000000008
CC1(C)CCC(C)(C)c2cc(ccc12)C1(OCCO1)c1ccc(cc1)C(O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCF30>,55.76,380.19875937600074,0.8156957051988873,4,1,4.9817000000000045,107.81330000000008
CN1C(=O)N(C(=O)[C@]11CN(C[C@H]1c1ccc(cc1)C#N)c1ccc(cn1)C(O)=O)c1cc(Cl)cc(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCF90>,117.84,535.0814094480005,0.4914628646844832,7,1,4.399480000000003,137.14529999999993
COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD030>,100.94000000000001,368.19607400800066,0.6252632540499532,8,3,1.3753999999999997,103.13990000000004
COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD090>,100.94000000000001,368.19607400800066,0.6252632540499532,8,3,1.3753999999999997,103.13990000000004
Cn1c(nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O)N1CCCCS1(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD0F0>,121.6,410.1060189280005,0.7564292318898344,7,2,0.4849999999999997,99.07980000000003
C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD150>,116.13000000000001,461.2087846080007,0.37575678809030433,8,3,3.605100000000002,124.64210000000003
C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD1B0>,116.13000000000001,461.2087846080007,0.37575678809030433,8,3,3.605100000000002,124.64210000000003
C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD210>,116.13000000000001,461.2087846080007,0.37575678809030433,8,3,3.605100000000002,124.64210000000003
CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD270>,108.47,512.1062892080006,0.3526152215095378,7,2,5.189600000000002,131.25259999999997
COc1cc[nH]c2ncc(C(=O)C(=O)N3CCN(C[C@H]3C)C(=O)c3ccccc3)c12,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD2D0>,95.6,406.16410518400056,0.5287061001410552,5,1,2.0788999999999995,109.6127
COc1cc[nH]c2ncc(C(=O)C(=O)N3CCN(C[C@H]3C)C(=O)c3ccccc3)c12,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD330>,95.6,406.16410518400056,0.5287061001410552,5,1,2.0788999999999995,109.6127
Nc1nccc(Oc2ccc(NC(=O)c3cn(COP(O)(O)=O)cc(-c4ccc(F)cc4)c3=O)cc2F)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000291433FD390>,166.0,578.0569696660004,0.21957535373133036,10,4,4.5355000000000025,137.31169999999995
